"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"14-Oct-2021","-","-","-","     8155.45","-","-"
"18-Oct-2021","     8237.30","     8284.75","     8203.40","     8216.85","-","-"
"18-Oct-2021","-","-","-","     8216.85","-","-"
"19-Oct-2021","     8260.05","     8266.60","     8111.70","     8129.85","-","-"
"19-Oct-2021","-","-","-","     8129.85","-","-"
"20-Oct-2021","     8143.85","     8147.35","     7959.65","     7995.90","-","-"
"20-Oct-2021","-","-","-","     7995.90","-","-"
"21-Oct-2021","     8078.25","     8084.00","     7920.60","     7959.55","-","-"
"21-Oct-2021","-","-","-","     7959.55","-","-"
"22-Oct-2021","     7986.00","     8013.15","     7890.85","     7928.10","-","-"
"22-Oct-2021","-","-","-","     7928.10","-","-"
"25-Oct-2021","     8008.95","     8014.65","     7812.80","     7891.05","-","-"
"25-Oct-2021","-","-","-","     7891.05","-","-"
"26-Oct-2021","     7915.40","     7999.95","     7893.95","     7988.05","-","-"
"26-Oct-2021","-","-","-","     7988.05","-","-"
"27-Oct-2021","     7989.55","     8026.75","     7910.10","     7926.70","-","-"
"27-Oct-2021","-","-","-","     7926.70","-","-"
"28-Oct-2021","     7871.10","     7927.45","     7731.25","     7755.30","-","-"
"28-Oct-2021","-","-","-","     7755.30","-","-"
"29-Oct-2021","     7711.55","     7797.70","     7645.25","     7704.30","-","-"
"29-Oct-2021","-","-","-","     7704.30","-","-"
"01-Nov-2021","     7736.85","     7799.70","     7688.75","     7783.80","-","-"
"01-Nov-2021","-","-","-","     7783.80","-","-"
"02-Nov-2021","     7810.35","     7816.55","     7715.65","     7720.50","-","-"
"02-Nov-2021","-","-","-","     7720.50","-","-"
"03-Nov-2021","     7727.70","     7794.25","     7676.10","     7716.95","-","-"
"03-Nov-2021","-","-","-","     7716.95","-","-"
"04-Nov-2021","     7756.30","     7770.25","     7745.80","     7758.35","-","-"
"08-Nov-2021","     7796.50","     7908.20","     7738.05","     7897.20","-","-"
"08-Nov-2021","-","-","-","     7897.20","-","-"
"09-Nov-2021","     7931.90","     7974.00","     7904.60","     7963.00","-","-"
"09-Nov-2021","-","-","-","     7963.00","-","-"
"10-Nov-2021","     7963.00","     8041.55","     7943.05","     8023.00","-","-"
"10-Nov-2021","-","-","-","     8023.00","-","-"
"11-Nov-2021","     7979.30","     8008.50","     7952.35","     7972.95","-","-"
"12-Nov-2021","     8011.45","     8050.95","     7982.40","     8029.00","-","-"
"12-Nov-2021","-","-","-","     8029.00","-","-"
"15-Nov-2021","     8066.15","     8106.55","     8017.70","     8033.65","-","-"
"15-Nov-2021","-","-","-","     8033.65","-","-"
"16-Nov-2021","     8033.70","     8044.05","     7891.20","     7924.15","-","-"
"16-Nov-2021","-","-","-","     7924.15","-","-"
"17-Nov-2021","     7888.80","     7894.60","     7789.00","     7808.55","-","-"
"17-Nov-2021","-","-","-","     7808.55","-","-"
"18-Nov-2021","     7799.95","     7810.95","     7721.55","     7753.80","-","-"
"18-Nov-2021","-","-","-","     7753.80","-","-"
